CHR	POS1	POS2	N_CHR	R^2	D	Dprime
LG12	4228	11238	72	0.0230415	-0.0173611	-1	
LG12	4228	11548	72	0.00948767	-0.00771605	-1	
LG12	4228	11816	72	0.00645161	0.0138889	0.2	
LG12	4228	12142	72	0.00516129	-0.00925926	-0.4	
LG12	4228	12278	72	0.000280505	0.00270062	0.0608696	
LG12	4228	14166	72	0.000201613	-0.00154321	-0.1	
LG12	4228	14228	72	0.00058651	0.00231481	0.0322581	
LG12	4262	4293	72	0.0588235	0.0277778	1	
LG12	4262	4439	72	0.0258065	-0.0277778	-0.4	
LG12	4262	5413	72	0	0	0	
LG12	4262	5455	72	0.0078125	-0.0138889	-0.25	
LG12	4262	5930	72	0.010101	0.0138889	0.333333	
LG12	4262	7384	72	0.0138889	0.0277778	0.166667	
LG12	4262	7658	72	0.0258065	-0.0277778	-0.4	
LG12	4262	7708	72	0.00645161	0.0138889	0.2	
LG12	4262	7719	72	0.040404	0.0277778	0.666667	
LG12	4262	8244	72	0.078125	0.0694444	0.3125	
LG12	4262	8953	72	0.0078125	0.0138889	0.25	
LG12	4262	10818	72	0.0292398	-0.0347222	-0.333333	
LG12	4262	11238	72	0.0440917	-0.0347222	-0.555556	
LG12	4262	11548	72	0.0147059	0.0138889	0.5	
LG12	4262	11816	72	0.00308642	-0.0138889	-0.0555556	
LG12	4262	12142	72	0.00555556	0.0138889	0.166667	
LG12	4262	12278	72	0.000887311	-0.00694444	-0.0434783	
LG12	4262	14166	72	0	0	0	
LG12	4262	14228	72	0	0	0	
LG12	4293	4439	72	0.00948767	-0.00771605	-1	
LG12	4293	5413	72	0.00346021	-0.00308642	-1	
LG12	4293	5455	72	0.00735294	0.00617284	1	
LG12	4293	5930	72	0.00534759	-0.00462963	-1	
LG12	4293	7384	72	0.117647	-0.037037	-1	
LG12	4293	7658	72	0.00948767	-0.00771605	-1	
LG12	4293	7708	72	0.00948767	0.00771605	1	
LG12	4293	7719	72	0.00534759	-0.00462963	-1	
LG12	4293	8244	72	0.0470588	-0.0246914	-1	
LG12	4293	8953	72	0.243107	0.0354938	0.71875	
LG12	4293	10818	72	0.000619195	0.00231481	0.0526316	
LG12	4293	11238	72	0.00840336	-0.00694444	-1	
LG12	4293	11548	72	0.00346021	-0.00308642	-1	
LG12	4293	11816	72	0.0147059	0.0138889	0.5	
LG12	4293	12142	72	0.0117647	-0.00925926	-1	
LG12	4293	12278	72	0.00882092	-0.0100309	-0.265306	
LG12	4293	14166	72	0.00735294	-0.00617284	-1	
LG12	4293	14228	72	0.00534759	-0.00462963	-1	
LG12	4439	5413	72	0.00948767	-0.00771605	-1	
LG12	4439	5455	72	0.000201613	0.00154321	0.1	
LG12	4439	5930	72	0.0991202	0.0300926	0.419355	
LG12	4439	7384	72	0.0395161	0.0324074	0.7	
LG12	4439	7658	72	0.0919459	0.0362654	0.303226	
LG12	4439	7708	72	0.00203954	0.00540123	0.28	
LG12	4439	7719	72	0.0146628	-0.0115741	-1	
LG12	4439	8244	72	0.00129032	-0.00617284	-0.1	
LG12	4439	8953	72	0.000201613	-0.00154321	-0.1	
LG12	4439	10818	72	0.0114771	-0.0150463	-0.52	
LG12	4439	11238	72	0.000921659	-0.00347222	-0.2	
LG12	4439	11548	72	0.0641366	0.0200617	0.419355	
LG12	4439	11816	72	0.00645161	0.0138889	0.2	
LG12	4439	12142	72	0.00516129	-0.00925926	-0.4	
LG12	4439	12278	72	0.0357272	0.0304784	0.686957	
LG12	4439	14166	72	0.0201613	-0.0154321	-1	
LG12	4439	14228	72	0.0146628	-0.0115741	-1	
LG12	5413	5455	72	0.00735294	0.00617284	1	
LG12	5413	5930	72	0.00534759	-0.00462963	-1	
LG12	5413	7384	72	0.0294118	0.0185185	1	
LG12	5413	7658	72	0.00948767	-0.00771605	-1	
LG12	5413	7708	72	0.00948767	0.00771605	1	
LG12	5413	7719	72	0.00534759	-0.00462963	-1	
LG12	5413	8244	72	0.0735294	0.0308642	1	
LG12	5413	8953	72	0.00735294	-0.00617284	-1	
LG12	5413	10818	72	0.0154799	-0.0115741	-1	
LG12	5413	11238	72	0.00840336	-0.00694444	-1	
LG12	5413	11548	72	0.00346021	-0.00308642	-1	
LG12	5413	11816	72	0.0588235	-0.0277778	-1	
LG12	5413	12142	72	0.0117647	-0.00925926	-1	
LG12	5413	12278	72	0.12532	-0.0378086	-1	
LG12	5413	14166	72	0.0900735	0.0216049	0.4375	
LG12	5413	14228	72	0.00534759	-0.00462963	-1	
LG12	5455	5930	72	0.0113636	0.00925926	1	
LG12	5455	7384	72	0.0478516	0.0324074	0.4375	
LG12	5455	7658	72	0.0201613	0.0154321	1	
LG12	5455	7708	72	0.0201613	-0.0154321	-1	
LG12	5455	7719	72	0.0113636	0.00925926	1	
LG12	5455	8244	72	0.00244141	0.00771605	0.15625	
LG12	5455	8953	72	0.015625	0.0123457	1	
LG12	5455	10818	72	0.0328947	0.0231481	1	
LG12	5455	11238	72	0.160714	-0.0416667	-0.428571	
LG12	5455	11548	72	0.00735294	0.00617284	1	
LG12	5455	11816	72	0.0078125	-0.0138889	-0.25	
LG12	5455	12142	72	0.025	0.0185185	1	
LG12	5455	12278	72	0.0536823	0.0339506	0.44898	
LG12	5455	14166	72	0.0244141	-0.0154321	-0.15625	
LG12	5455	14228	72	0.0454545	-0.0185185	-0.25	
LG12	5930	7384	72	0.0454545	0.0277778	1	
LG12	5930	7658	72	0.21173	0.0439815	0.612903	
LG12	5930	7708	72	0.00058651	-0.00231481	-0.0322581	
LG12	5930	7719	72	0.00826446	-0.00694444	-1	
LG12	5930	8244	72	0.0284091	-0.0231481	-0.625	
LG12	5930	8953	72	0.0113636	-0.00925926	-1	
LG12	5930	10818	72	0.000956938	-0.00347222	-0.2	
LG12	5930	11238	72	0.036075	0.0173611	0.238095	
LG12	5930	11548	72	0.342246	0.037037	0.727273	
LG12	5930	11816	72	0.010101	0.0138889	0.333333	
LG12	5930	12142	72	0.0181818	-0.0138889	-1	
LG12	5930	12278	72	0.00976043	0.0127315	0.478261	
LG12	5930	14166	72	0.00284091	0.00462963	0.0625	
LG12	5930	14228	72	0.00826446	-0.00694444	-1	
LG12	7384	7658	72	0.0806452	0.0462963	1	
LG12	7384	7708	72	0.0129032	-0.0185185	-0.4	
LG12	7384	7719	72	0.0454545	0.0277778	1	
LG12	7384	8244	72	0.328516	0.134259	0.90625	
LG12	7384	8953	72	0.25	-0.0740741	-1	
LG12	7384	10818	72	0.131579	-0.0694444	-0.5	
LG12	7384	11238	72	0.00793651	0.0138889	0.333333	
LG12	7384	11548	72	0.0294118	0.0185185	1	
LG12	7384	11816	72	0.0555556	-0.0555556	-0.333333	
LG12	7384	12142	72	0.00625	0.0138889	0.25	
LG12	7384	12278	72	0.0443656	0.0462963	0.217391	
LG12	7384	14166	72	0.00390625	0.00925926	0.25	
LG12	7384	14228	72	0.0113636	-0.0138889	-0.25	
LG12	7384	16611	72	0.115741	0.0694444	0.833333	
LG12	7384	17323	72	0.0534759	0.0462963	0.294118	
LG12	7658	7708	72	0.0260146	0.0192901	1	
LG12	7658	7719	72	0.0146628	-0.0115741	-1	
LG12	7658	8244	72	0.129032	-0.0617284	-1	
LG12	7658	8953	72	0.0201613	-0.0154321	-1	
LG12	7658	10818	72	0.0424448	-0.0289352	-1	
LG12	7658	11238	72	0.000921659	-0.00347222	-0.2	
LG12	7658	11548	72	0.364706	0.0478395	1	
LG12	7658	11816	72	0.0258065	-0.0277778	-0.4	
LG12	7658	12142	72	0.0322581	-0.0231481	-1	
LG12	7658	12278	72	0.0357272	0.0304784	0.686957	
LG12	7658	14166	72	0.000201613	-0.00154321	-0.1	
LG12	7658	14228	72	0.0146628	-0.0115741	-1	
LG12	7658	16611	72	0.0537634	0.0347222	0.333333	
LG12	7658	17323	72	0.0498534	0.0327932	1	
LG12	7708	7719	72	0.0146628	0.0115741	1	
LG12	7708	8244	72	0.0775	0.0478395	0.775	
LG12	7708	8953	72	0.0201613	0.0154321	1	
LG12	7708	10818	72	6.79117e-05	0.00115741	0.04	
LG12	7708	11238	72	0.00829493	-0.0104167	-0.0967742	
LG12	7708	11548	72	0.00948767	0.00771605	1	
LG12	7708	11816	72	0.103226	-0.0555556	-0.8	
LG12	7708	12142	72	0.00516129	0.00925926	0.4	
LG12	7708	12278	72	0.00481438	0.0111883	0.118367	
LG12	7708	14166	72	0.0129032	-0.0123457	-0.129032	
LG12	7708	14228	72	0.0146628	0.0115741	1	
LG12	7708	16611	72	0.0193548	0.0208333	0.6	
LG12	7708	17323	72	0.0240193	0.0227623	0.214545	
LG12	7719	8244	72	0.113636	0.0462963	1	
LG12	7719	8953	72	0.0113636	-0.00925926	-1	
LG12	7719	10818	72	0.04689	0.0243056	0.368421	
LG12	7719	11238	72	0.001443	0.00347222	0.047619	
LG12	7719	11548	72	0.00534759	-0.00462963	-1	
LG12	7719	11816	72	0	0	0	
LG12	7719	12142	72	0.0181818	-0.0138889	-1	
LG12	7719	12278	72	0.00976043	0.0127315	0.478261	
LG12	7719	14166	72	0.00284091	0.00462963	0.0625	
LG12	7719	14228	72	0.206612	0.0347222	0.454545	
LG12	7719	16611	72	0.003367	-0.00694444	-0.333333	
LG12	7719	17323	72	0.0280992	0.0196759	1	
LG12	8244	8953	72	0.1	-0.0493827	-1	
LG12	8244	10818	72	0.0131579	-0.0231481	-0.25	
LG12	8244	11238	72	2.85258e-32	-5.55112e-17	-9.99201e-16	
LG12	8244	11548	72	0.0470588	-0.0246914	-1	
LG12	8244	11816	72	0.1125	-0.0833333	-0.375	
LG12	8244	12142	72	0.1225	0.0648148	0.7	
LG12	8244	12278	72	0.0373114	0.0447531	0.315217	
LG12	8244	14166	72	0.00244141	-0.00771605	-0.15625	
LG12	8244	14228	72	0.00113636	0.00462963	0.1	
LG12	8244	16611	72	0.0666667	0.0555556	0.4	
LG12	8244	17323	72	0.0013369	0.00771605	0.0735294	
LG12	8244	17722	72	0.0181818	0.0185185	0.4	
LG12	8953	10818	72	0.0328947	-0.0231481	-1	
LG12	8953	11238	72	0.0178571	-0.0138889	-1	
LG12	8953	11548	72	0.00735294	-0.00617284	-1	
LG12	8953	11816	72	0.03125	0.0277778	0.5	
LG12	8953	12142	72	0.0015625	-0.00462963	-0.25	
LG12	8953	12278	72	0.0536823	-0.0339506	-0.44898	
LG12	8953	14166	72	0.015625	-0.0123457	-1	
LG12	8953	14228	72	0.0113636	-0.00925926	-1	
LG12	8953	16611	72	0.0104167	-0.0138889	-0.5	
LG12	8953	17323	72	0.00855615	0.0123457	0.470588	
LG12	8953	17722	72	0.0113636	-0.00925926	-1	
LG12	10818	11238	72	0.037594	-0.0260417	-1	
LG12	10818	11548	72	0.0154799	-0.0115741	-1	
LG12	10818	11816	72	0.14152	0.0763889	0.733333	
LG12	10818	12142	72	0.0189474	-0.0208333	-0.6	
LG12	10818	12278	72	0.0773455	0.052662	0.791304	
LG12	10818	14166	72	0.0328947	-0.0231481	-1	
LG12	10818	14228	72	0.115789	0.0381944	0.578947	
LG12	10818	16611	72	0.0877193	-0.0520833	-1	
LG12	10818	17323	72	0.1932	-0.0758102	-0.476364	
LG12	10818	17722	72	0.04689	0.0243056	0.368421	
LG12	10818	19854	72	0.0136639	-0.0237269	-0.221622	
LG12	11238	11548	72	0.00840336	-0.00694444	-1	
LG12	11238	11816	72	0.0440917	0.0347222	0.555556	
LG12	11238	12142	72	0.0285714	-0.0208333	-1	
LG12	11238	12278	72	0.0366333	-0.0295139	-0.346939	
LG12	11238	14166	72	0.0178571	0.0138889	0.142857	
LG12	11238	14228	72	0.036075	0.0173611	0.238095	
LG12	11238	16611	72	0.047619	-0.03125	-1	
LG12	11238	17323	72	0.0343774	-0.0260417	-0.272727	
LG12	11238	17722	72	0.012987	-0.0104167	-1	
LG12	11238	19854	72	0.0486486	-0.0364583	-0.567568	
LG12	11238	20908	72	0.000167084	0.00173611	0.0175439	
LG12	11548	11816	72	0.0147059	0.0138889	0.5	
LG12	11548	12142	72	0.0117647	-0.00925926	-1	
LG12	11548	12278	72	0.027611	0.0177469	1	
LG12	11548	14166	72	0.00735294	-0.00617284	-1	
LG12	11548	14228	72	0.00534759	-0.00462963	-1	
LG12	11548	16611	72	0.0196078	-0.0138889	-1	
LG12	11548	17323	72	0.0181818	0.0131173	1	
LG12	11548	17722	72	0.00534759	-0.00462963	-1	
LG12	11548	19854	72	0.0621849	-0.0285494	-1	
LG12	11548	20908	72	0.0154799	-0.0115741	-1	
LG12	11816	12142	72	0.2	-0.0833333	-1	
LG12	11816	12278	72	0.0079858	-0.0208333	-0.130435	
LG12	11816	14166	72	0.03125	-0.0277778	-0.5	
LG12	11816	14228	72	0.0909091	0.0416667	1	
LG12	11816	16611	72	0.333333	-0.125	-1	
LG12	11816	17323	72	0.240642	-0.104167	-0.882353	
LG12	11816	17722	72	0	0	0	
LG12	11816	19854	72	0.0934363	-0.0763889	-0.314286	
LG12	11816	20908	72	0.0947368	0.0625	0.6	
LG12	12142	12278	72	0.0512866	0.0393519	0.73913	
LG12	12142	14166	72	0.025	-0.0185185	-1	
LG12	12142	14228	72	0.0181818	-0.0138889	-1	
LG12	12142	16611	72	0.185185	0.0694444	0.555556	
LG12	12142	17323	72	0.0258824	0.025463	0.647059	
LG12	12142	17722	72	0.0181818	-0.0138889	-1	
LG12	12142	19854	72	0.129884	0.0671296	0.828571	
LG12	12142	20908	72	0.0526316	-0.0347222	-1	
LG12	12278	14166	72	0.266304	-0.0756173	-1	
LG12	12278	14228	72	0.0136323	-0.0150463	-0.265306	
LG12	12278	16611	72	0.0357882	0.0381944	0.478261	
LG12	12278	17323	72	0.0578973	-0.0476466	-0.631714	
LG12	12278	17722	72	0.0426716	0.0266204	1	
LG12	12278	19854	72	0.00238512	0.0113812	0.0693302	
LG12	12278	20908	72	0.0553776	-0.0445602	-0.314286	
LG12	14166	14228	72	0.0113636	-0.00925926	-1	
LG12	14166	16611	72	0.0416667	-0.0277778	-1	
LG12	14166	17323	72	0.0386364	0.0262346	1	
LG12	14166	17722	72	0.0113636	-0.00925926	-1	
LG12	14166	19854	72	0.132143	-0.0570988	-1	
LG12	14166	20908	72	0.0328947	-0.0231481	-1	
LG12	14166	23024	72	0.0244141	-0.0231481	-0.625	
LG12	14166	23548	72	0.0604683	-0.0385802	-0.735294	
LG12	14228	16611	72	0.030303	-0.0208333	-1	
LG12	14228	17323	72	0.0280992	0.0196759	1	
LG12	14228	17722	72	0.00826446	-0.00694444	-1	
LG12	14228	19854	72	0.0859951	0.0405093	1	
LG12	14228	20908	72	0.345455	0.0659722	1	
LG12	14228	23024	72	0.0454545	-0.0277778	-1	
LG12	14228	23548	72	0.101604	0.0439815	1	
LG12	16611	17323	72	0.10303	0.0590278	1	
LG12	16611	17722	72	0.030303	-0.0208333	-1	
LG12	16611	19854	72	0.247362	0.107639	0.885714	
LG12	16611	20908	72	0.0877193	-0.0520833	-1	
LG12	16611	23024	72	0.375	0.125	0.75	
LG12	16611	23548	72	0.372549	0.131944	1	
LG12	16611	26564	72	0.347518	0.121528	0.744681	
LG12	17323	17722	72	0.0350997	-0.0219907	-0.345455	
LG12	17323	19854	72	0.256229	0.107446	0.885533	
LG12	17323	20908	72	0.0813397	0.0491898	1	
LG12	17323	23024	72	0.104813	0.0648148	0.823529	
LG12	17323	23548	72	0.155921	0.0837191	0.750865	
LG12	17323	26564	72	0.113423	0.0680941	0.830588	
LG12	17722	19854	72	0.00849421	0.0127315	0.314286	
LG12	17722	20908	72	0.04689	0.0243056	0.368421	
LG12	17722	23024	72	0.0113636	0.0138889	0.25	
LG12	17722	23548	72	0.0137912	0.0162037	0.368421	
LG12	17722	26564	72	0.0483559	-0.0289352	-1	
LG12	19854	20908	72	0.248933	0.101273	1	
LG12	19854	23024	72	0.32471	0.134259	0.828571	
LG12	19854	23548	72	0.567003	0.187886	0.818487	
LG12	19854	26564	72	0.285406	0.127122	0.753143	
LG12	19854	27829	72	0.00313802	-0.00829475	-0.166023	
LG12	19854	28630	72	0.0713962	0.0528549	0.559184	
LG12	20908	23024	72	0.00526316	-0.0138889	-0.2	
LG12	20908	23548	72	0.0399218	0.0405093	0.368421	
LG12	20908	26564	72	0.000223964	-0.00289352	-0.04	
LG12	20908	27829	72	0.0316715	0.021412	0.278195	
LG12	20908	28630	72	0.0709878	0.0428241	0.278195	
LG12	20908	30052	72	0.0135338	0.015625	0.157895	
LG12	20908	30812	72	0.0196386	-0.0144676	-1	
LG12	23024	23548	72	0.558824	0.175926	1	
LG12	23024	26564	72	0.357872	0.134259	0.617021	
LG12	23024	27829	72	0.0043956	0.00925926	0.142857	
LG12	23024	28630	72	0.00985222	0.0185185	0.142857	
LG12	23024	30052	72	1.98096e-31	1.11022e-16	1.33227e-15	
LG12	23024	30812	72	0.00597015	-0.00925926	-0.4	
LG12	23024	31496	72	0.013369	-0.0231481	-0.294118	
LG12	23024	31571	72	0.028394	-0.037037	-0.347826	
LG12	23024	32236	72	0.0647059	-0.0509259	-0.647059	
LG12	23024	33012	72	0.125931	0.0601852	0.590909	
LG12	23548	26564	72	0.13103	0.086034	0.469474	
LG12	23548	27829	72	0.00425271	0.00964506	0.18797	
LG12	23548	28630	72	0.00184538	-0.00848765	-0.092437	
LG12	23548	30052	72	0.000442282	-0.00347222	-0.0588235	
LG12	23548	30812	72	0.0221894	-0.0189043	-0.576471	
LG12	23548	31496	72	0.03791	0.0412809	0.331269	
LG12	23548	31571	72	0.122303	-0.0814043	-0.539642	
LG12	23548	32236	72	3.3112e-06	-0.000385802	-0.00346021	
LG12	23548	33012	72	0.0470671	0.038966	0.483254	
LG12	23548	33135	72	0.0123839	-0.0277778	-0.117647	
LG12	26564	27829	72	0.0572831	-0.0337577	-1	
LG12	26564	28630	72	0.204763	0.0852623	0.671733	
LG12	26564	30052	72	0.0759878	-0.0434028	-1	
LG12	26564	30812	72	0.000917117	0.00366512	0.0808511	
LG12	26564	31496	72	0.0718726	-0.0542052	-0.661176	
LG12	26564	31571	72	0.0973256	-0.0692515	-0.624348	
LG12	26564	32236	72	0.0718726	-0.0542052	-0.661176	
LG12	26564	33012	72	0.114914	0.0580633	0.582205	
LG12	26564	33135	72	0.191489	-0.104167	-0.6	
LG12	26564	33742	72	0.0010058	-0.00752315	-0.04	
LG12	27829	28630	72	0.0259947	-0.0189043	-1	
LG12	27829	30052	72	0.196232	0.0434028	0.510204	
LG12	27829	30812	72	0.00898147	0.00713735	0.113846	
LG12	27829	31496	72	0.0671352	0.0326003	0.438961	
LG12	27829	31571	72	0.000563589	-0.00327932	-0.10559	
LG12	27829	32236	72	0.00519245	-0.00906636	-0.394958	
LG12	27829	33012	72	0.0194199	-0.0148534	-1	
LG12	27829	33135	72	0.0021978	-0.00694444	-0.142857	
LG12	27829	33742	72	0.0284177	-0.0248843	-0.472527	
LG12	28630	30052	72	0.0344828	-0.0243056	-1	
LG12	28630	30812	72	0.0180134	-0.0135031	-1	
LG12	28630	31496	72	0.0746082	-0.0459105	-1	
LG12	28630	31571	72	0.1133	-0.0621142	-1	
LG12	28630	32236	72	0.0746082	-0.0459105	-1	
LG12	28630	33012	72	0.0435274	-0.0297068	-1	
LG12	28630	33135	72	0.241379	-0.0972222	-1	
LG12	28630	33742	72	0.204244	0.0891204	1	
LG12	28630	38572	72	0.116133	0.0628858	0.475219	
LG12	30052	30812	72	0.010661	-0.00868056	-1	
LG12	30052	31496	72	0.0808251	0.0399306	0.418182	
LG12	30052	31571	72	0.0102675	0.015625	0.183673	
LG12	30052	32236	72	0.0343774	0.0260417	0.272727	
LG12	30052	33012	72	0.0257611	-0.0190972	-1	
LG12	30052	33135	72	0.00176367	0.00694444	0.111111	
LG12	30052	33742	72	0.00543901	-0.0121528	-0.179487	
LG12	30052	38572	72	0.0670554	-0.0399306	-1	
LG12	30812	31496	72	0.131564	0.039159	0.738182	
LG12	30812	31571	72	0.0350289	-0.0221836	-1	
LG12	30812	32236	72	0.0111134	0.0113812	0.214545	
LG12	30812	33012	72	0.0352381	0.0171682	0.291803	
LG12	30812	33135	72	0.00298507	0.00694444	0.2	
LG12	30812	33742	72	0.00102286	0.00405093	0.127273	
LG12	30812	38572	72	0.0350289	-0.0221836	-1	
LG12	30812	40208	72	0.0196837	0.00906636	0.140299	
LG12	30812	40347	72	0.0530723	-0.0285494	-0.672727	
LG12	30812	40564	72	0.026753	-0.0183256	-1	
LG12	30812	40731	72	0.00438982	-0.00385802	-1	
LG12	31496	31571	72	0.145083	-0.0754244	-1	
LG12	31496	32236	72	0.212486	0.0831404	0.460963	
LG12	31496	33012	72	0.00134048	0.00559414	0.0479339	
LG12	31496	33135	72	0.026738	0.0347222	0.294118	
LG12	31496	33742	72	0.00269997	0.0109954	0.101604	
LG12	31496	38572	72	0.145083	-0.0754244	-1	
LG12	31496	40208	72	0.0230665	-0.0163966	-1	
LG12	31496	40347	72	0.0516841	-0.0470679	-0.326203	
LG12	31496	40564	72	0.00130105	-0.00675154	-0.108359	
LG12	31496	40731	72	0.0227115	0.0146605	0.345455	
LG12	31496	41214	72	3.48605e-05	0.000964506	0.0226244	
LG12	31571	32236	72	0.0121177	0.0217978	0.135654	
LG12	31571	33012	72	0.0846437	-0.048804	-1	
LG12	31571	33135	72	0.320319	0.131944	0.826087	
LG12	31571	33742	72	0.0427461	-0.0480324	-0.277592	
LG12	31571	38572	72	0.0457284	-0.0464892	-0.455577	
LG12	31571	40208	72	0.00489743	-0.00829475	-0.373913	
LG12	31571	40347	72	0.0157757	-0.0285494	-0.146245	
LG12	31571	40564	72	0.0430359	-0.0426312	-0.505721	
LG12	31571	40731	72	0.027611	-0.0177469	-1	
LG12	31571	41214	72	0.140907	-0.0673225	-0.547881	
LG12	32236	33012	72	0.0210796	-0.0221836	-0.614973	
LG12	32236	33135	72	0.309091	0.118056	1	
LG12	32236	33742	72	0.261538	0.108218	1	
LG12	32236	38572	72	0.0965708	-0.0615355	-0.815857	
LG12	32236	40208	72	0.0230665	-0.0163966	-1	
LG12	32236	40347	72	0.0306827	0.0362654	0.394958	
LG12	32236	40564	72	0.110806	-0.0623071	-1	
LG12	32236	40731	72	0.0227115	0.0146605	0.345455	
LG12	32236	41214	72	3.48605e-05	0.000964506	0.0226244	
LG12	32236	41588	72	0.168755	0.0725309	0.427273	
LG12	32236	42203	72	6.29129e-05	0.000771605	0.0181818	
LG12	33012	33135	72	0.120715	-0.0625	-0.818182	
LG12	33012	33742	72	0.147583	-0.0688657	-0.832168	
LG12	33012	38572	72	0.0833107	0.0484182	0.465677	
LG12	33012	40208	72	0.0134573	-0.0106096	-1	
LG12	33012	40347	72	0.0102386	0.0177469	0.298701	
LG12	33012	40564	72	0.0646458	-0.0403164	-1	
LG12	33012	40731	72	0.00429561	0.00540123	0.114754	
LG12	33012	41214	72	0.0397333	0.0275849	1	
LG12	33012	41588	72	0.0179902	-0.0200617	-0.590909	
LG12	33012	42203	72	0.0106075	-0.00848765	-1	
LG12	33012	42336	72	0.115315	0.0310571	0.527869	
LG12	33012	42774	72	0.0257611	-0.0190972	-1	
LG12	33135	33742	72	0.00699301	0.0208333	0.0909091	
LG12	33135	38572	72	0.320319	-0.131944	-0.826087	
LG12	33135	40208	72	0.00298507	-0.00694444	-0.2	
LG12	33135	40347	72	0.0811688	-0.0694444	-0.357143	
LG12	33135	40564	72	0.286991	-0.118056	-0.894737	
LG12	33135	40731	72	0.0588235	0.0277778	1	
LG12	33135	41214	72	0.220339	-0.0902778	-1	
LG12	33135	41588	72	0.0401786	0.0416667	0.375	
LG12	33135	42203	72	0	0	0	
LG12	33135	42336	72	0.0268657	-0.0208333	-0.6	
LG12	33135	42774	72	0.142857	-0.0625	-1	
LG12	33135	43032	72	0.026738	0.0347222	0.294118	
LG12	33742	38572	72	0.00849461	0.021412	0.146245	
LG12	33742	40208	72	0.0350903	-0.0237269	-0.630769	
LG12	33742	40347	72	0.167923	0.099537	0.472527	
LG12	33742	40564	72	0.0293401	0.0376157	0.311005	
LG12	33742	40731	72	0.0497738	0.025463	1	
LG12	33742	41214	72	0.0485864	0.0422454	0.431953	
LG12	33742	41588	72	0.0844156	0.0601852	0.590909	
LG12	33742	42203	72	0.0201563	-0.0162037	-0.538462	
LG12	33742	42336	72	0.0881954	-0.0376157	-1	
LG12	33742	42774	72	0.00543901	-0.0121528	-0.179487	
LG12	33742	43032	72	0.0335739	0.0387731	0.358289	
LG12	33742	43410	72	0.0881954	-0.0376157	-1	
LG12	38572	40208	72	0.0350289	-0.0221836	-1	
LG12	38572	40347	72	0.298701	0.124228	1	
LG12	38572	40564	72	0.364308	0.124035	0.690655	
LG12	38572	40731	72	0.027611	-0.0177469	-1	
LG12	38572	41214	72	0.103424	0.0576775	1	
LG12	38572	41588	72	0.134111	-0.0709877	-1	
LG12	38572	42203	72	0.027611	-0.0177469	-1	
LG12	38572	42336	72	0.00222755	0.00559414	0.118367	
LG12	38572	42774	72	0.0102675	0.015625	0.183673	
LG12	38572	43032	72	0.0965708	-0.0615355	-0.815857	
LG12	38572	43410	72	0.0350289	-0.0221836	-1	
LG12	38572	44017	72	0.027611	-0.0177469	-1	
LG12	38572	44086	72	0.0766891	-0.0636574	-0.478261	
LG12	38572	44167	72	0.00185475	-0.00964506	-0.047259	
LG12	38572	45187	72	0.0578973	-0.0476466	-0.631714	
LG12	38572	45416	72	0.00621118	-0.0121528	-0.304348	
LG12	38572	45899	72	0.0230887	0.0353009	0.241107	
LG12	38572	46175	72	0.0766891	0.0636574	0.478261	
LG12	38572	47192	72	0.00185475	-0.00964506	-0.047259	
LG12	40208	40347	72	0.117271	-0.0424383	-1	
LG12	40208	40564	72	0.026753	-0.0183256	-1	
LG12	40208	40731	72	0.00438982	-0.00385802	-1	
LG12	40208	41214	72	0.0164432	0.0125386	1	
