CHROM	BIN_START	BIN_END	N_VARIANTS	WEIGHTED_FST	MEAN_FST
LG12	440001	490000	284	0.0243155	0.0251284
LG12	445001	495000	291	0.0243724	0.0235219
LG12	450001	500000	292	0.0244103	0.0228999
LG12	455001	505000	292	0.0258855	0.0256138
LG12	460001	510000	310	0.0435328	0.0383519
LG12	465001	515000	311	0.0729536	0.0624228
LG12	470001	520000	330	0.0907439	0.0799888
LG12	475001	525000	355	0.096755	0.0854123
LG12	480001	530000	364	0.0973738	0.0862688
LG12	485001	535000	406	0.090937	0.0814988
LG12	490001	540000	396	0.0944386	0.088131
LG12	495001	545000	389	0.104217	0.0947431
LG12	500001	550000	402	0.105913	0.096715
LG12	505001	555000	398	0.114464	0.102718
LG12	510001	560000	416	0.101548	0.0895648
LG12	515001	565000	421	0.0856547	0.0750218
LG12	520001	570000	429	0.0681236	0.059062
LG12	525001	575000	440	0.05806	0.051845
LG12	530001	580000	457	0.0545037	0.0494164
LG12	535001	585000	397	0.0556347	0.0499442
LG12	540001	590000	387	0.0521132	0.0453213
LG12	545001	595000	387	0.0456583	0.0407799
LG12	550001	600000	370	0.0400852	0.0368385
LG12	555001	605000	376	0.0264651	0.026601
LG12	560001	610000	346	0.02828	0.0286984
LG12	565001	615000	325	0.0292195	0.0312322
LG12	570001	620000	305	0.0270926	0.0301431
LG12	575001	625000	286	0.0280681	0.028837
LG12	580001	630000	267	0.0265151	0.0261817
LG12	585001	635000	280	0.0286159	0.0286183
LG12	590001	640000	265	0.0383503	0.0360347
LG12	595001	645000	262	0.0424475	0.0399231
LG12	600001	650000	265	0.0502497	0.0477058
LG12	605001	655000	269	0.0668479	0.0638651
LG12	610001	660000	283	0.0583605	0.0579744
LG12	615001	665000	309	0.054724	0.0526874
LG12	620001	670000	303	0.0589441	0.0562732
LG12	625001	675000	312	0.0547066	0.0545514
LG12	630001	680000	324	0.0516198	0.0523223
LG12	635001	685000	353	0.0491064	0.051129
LG12	640001	690000	399	0.0430126	0.046574
LG12	645001	695000	397	0.0463232	0.049788
LG12	650001	700000	415	0.0469022	0.0499864
LG12	655001	705000	414	0.0498601	0.0497172
LG12	660001	710000	426	0.055474	0.0557485
LG12	665001	715000	425	0.0623564	0.0621756
LG12	670001	720000	460	0.0666772	0.0656099
LG12	675001	725000	460	0.0697805	0.0672946
LG12	680001	730000	459	0.0737741	0.0706248
LG12	685001	735000	464	0.0707757	0.0663639
LG12	690001	740000	444	0.0744108	0.0707365
LG12	695001	745000	460	0.0718977	0.0688567
LG12	700001	750000	476	0.0738335	0.0703251
LG12	705001	755000	496	0.0646229	0.0628206
LG12	710001	760000	475	0.0659747	0.0625039
LG12	715001	765000	469	0.0677231	0.0636046
LG12	720001	770000	496	0.0704124	0.0644276
LG12	725001	775000	524	0.0786781	0.0718882
LG12	730001	780000	551	0.0745898	0.0685918
LG12	735001	785000	641	0.0672527	0.0589847
LG12	740001	790000	617	0.0671127	0.057684
LG12	745001	795000	568	0.0674909	0.057161
LG12	750001	800000	528	0.0646415	0.0542839
LG12	755001	805000	508	0.0693042	0.0585001
LG12	760001	810000	487	0.0666516	0.0563168
LG12	765001	815000	451	0.0608709	0.0517854
LG12	770001	820000	428	0.0314124	0.0281747
LG12	775001	825000	464	-0.00311242	-0.000404149
LG12	780001	830000	459	-0.00504894	-0.00238947
LG12	785001	835000	403	0.00498952	0.00961343
LG12	790001	840000	394	0.00263687	0.00927774
LG12	795001	845000	417	0.00345227	0.010839
LG12	800001	850000	443	0.00900681	0.0163768
LG12	805001	855000	441	0.00877266	0.01469
LG12	810001	860000	489	0.0169314	0.0211083
LG12	815001	865000	537	0.0195123	0.0234712
LG12	820001	870000	514	0.0311665	0.0344752
LG12	825001	875000	440	0.0558782	0.0521452
LG12	830001	880000	420	0.0527714	0.0504442
LG12	835001	885000	361	0.0469718	0.0474387
LG12	840001	890000	397	0.0515454	0.0515764
LG12	845001	895000	429	0.0607817	0.0583606
LG12	850001	900000	420	0.0573289	0.0573836
LG12	855001	905000	405	0.0702148	0.0669427
LG12	860001	910000	368	0.0757369	0.0713896
LG12	865001	915000	368	0.0784722	0.0737227
LG12	870001	920000	421	0.0678851	0.0665657
LG12	875001	925000	486	0.0690083	0.0694549
LG12	880001	930000	501	0.0753536	0.0742519
LG12	885001	935000	487	0.0753203	0.0743814
LG12	890001	940000	499	0.0718301	0.0715783
LG12	895001	945000	474	0.0684081	0.0690672
LG12	900001	950000	452	0.0682943	0.0674111
LG12	905001	955000	502	0.0616727	0.061563
LG12	910001	960000	528	0.0565916	0.0561526
LG12	915001	965000	522	0.0526365	0.0517226
LG12	920001	970000	521	0.0606087	0.0579889
LG12	925001	975000	465	0.0588583	0.0551989
LG12	930001	980000	439	0.0556804	0.0520388
LG12	935001	985000	449	0.0547039	0.0499438
LG12	940001	990000	438	0.0521549	0.0454357
LG12	945001	995000	440	0.0471209	0.0410159
LG12	950001	1000000	503	0.0450582	0.0396445
LG12	955001	1005000	506	0.0351256	0.0341137
LG12	960001	1010000	536	0.0290302	0.0277257
LG12	965001	1015000	529	0.0296123	0.0285636
LG12	970001	1020000	486	0.0234389	0.0226923
LG12	975001	1025000	487	0.0261146	0.0246149
LG12	980001	1030000	504	0.0339789	0.0327869
LG12	985001	1035000	513	0.0477699	0.0446478
LG12	990001	1040000	518	0.0443636	0.044517
LG12	995001	1045000	517	0.0463484	0.0466043
LG12	1000001	1050000	472	0.057574	0.0529468
LG12	1005001	1055000	450	0.095708	0.0778171
LG12	1010001	1060000	411	0.109486	0.0937906
LG12	1015001	1065000	406	0.116999	0.100364
LG12	1020001	1070000	396	0.117317	0.101682
LG12	1025001	1075000	391	0.116359	0.0985853
LG12	1030001	1080000	364	0.116391	0.0962349
LG12	1035001	1085000	362	0.0982022	0.0811229
LG12	1040001	1090000	373	0.114128	0.0909458
LG12	1045001	1095000	369	0.115951	0.0922887
LG12	1050001	1100000	377	0.113139	0.0941837
LG12	1055001	1105000	386	0.0910515	0.0823535
LG12	1060001	1110000	394	0.0928493	0.0811164
LG12	1065001	1115000	407	0.0854507	0.0741619
LG12	1070001	1120000	417	0.0884466	0.0759437
LG12	1075001	1125000	418	0.093077	0.0801152
LG12	1080001	1130000	415	0.0901789	0.0783061
LG12	1085001	1135000	401	0.0964802	0.082169
LG12	1090001	1140000	357	0.0925873	0.0796067
LG12	1095001	1145000	351	0.0905809	0.0780158
LG12	1100001	1150000	335	0.0844609	0.0724165
LG12	1105001	1155000	276	0.0672108	0.0581872
LG12	1110001	1160000	246	0.0547649	0.0527486
LG12	1115001	1165000	251	0.0539809	0.0563847
LG12	1120001	1170000	226	0.05168	0.0534872
LG12	1125001	1175000	240	0.0480736	0.0508631
LG12	1130001	1180000	279	0.051753	0.0528166
LG12	1135001	1185000	298	0.0523152	0.0528043
LG12	1140001	1190000	334	0.0611276	0.0600073
LG12	1145001	1195000	393	0.060871	0.0590995
LG12	1150001	1200000	426	0.0639589	0.0611533
LG12	1155001	1205000	464	0.069362	0.0668798
LG12	1160001	1210000	494	0.0775544	0.0747805
LG12	1165001	1215000	453	0.08163	0.0782319
LG12	1170001	1220000	450	0.0840383	0.0811872
LG12	1175001	1225000	410	0.086185	0.0836096
LG12	1180001	1230000	396	0.0941119	0.0901901
LG12	1185001	1235000	388	0.0967241	0.0913906
LG12	1190001	1240000	356	0.0911107	0.0870471
LG12	1195001	1245000	285	0.101293	0.0954085
LG12	1200001	1250000	278	0.12418	0.111811
LG12	1205001	1255000	277	0.136463	0.116861
LG12	1210001	1260000	283	0.128101	0.107715
LG12	1215001	1265000	309	0.131557	0.110663
LG12	1220001	1270000	315	0.13351	0.116547
LG12	1225001	1275000	332	0.132429	0.119635
LG12	1230001	1280000	298	0.133115	0.120543
LG12	1235001	1285000	293	0.13481	0.124769
LG12	1240001	1290000	327	0.147884	0.137764
LG12	1245001	1295000	348	0.156961	0.145996
LG12	1250001	1300000	315	0.149929	0.141976
LG12	1255001	1305000	283	0.144518	0.145323
LG12	1260001	1310000	259	0.159607	0.162818
LG12	1265001	1315000	291	0.171279	0.166851
LG12	1270001	1320000	276	0.177373	0.169579
LG12	1275001	1325000	289	0.192507	0.181043
LG12	1280001	1330000	322	0.178198	0.169813
LG12	1285001	1335000	315	0.182757	0.17347
LG12	1290001	1340000	272	0.184501	0.172837
LG12	1295001	1345000	260	0.176792	0.167751
LG12	1300001	1350000	275	0.180061	0.169378
LG12	1305001	1355000	310	0.182628	0.167046
LG12	1310001	1360000	327	0.196746	0.177568
LG12	1315001	1365000	293	0.216522	0.199337
LG12	1320001	1370000	300	0.219776	0.202512
LG12	1325001	1375000	266	0.217055	0.196576
LG12	1330001	1380000	241	0.240141	0.211787
LG12	1335001	1385000	246	0.241244	0.211029
LG12	1340001	1390000	267	0.233043	0.202742
LG12	1345001	1395000	262	0.234145	0.203084
LG12	1350001	1400000	251	0.23847	0.206581
LG12	1355001	1405000	249	0.225448	0.190349
LG12	1360001	1410000	231	0.201117	0.173691
LG12	1365001	1415000	239	0.161436	0.154502
LG12	1370001	1420000	230	0.147149	0.141973
LG12	1375001	1425000	240	0.143318	0.139008
LG12	1380001	1430000	234	0.141306	0.14069
LG12	1385001	1435000	224	0.139801	0.140322
LG12	1390001	1440000	196	0.14372	0.143569
LG12	1395001	1445000	190	0.145496	0.144704
LG12	1400001	1450000	181	0.136986	0.136687
LG12	1405001	1455000	136	0.152355	0.152829
LG12	1410001	1460000	144	0.142198	0.141576
LG12	1415001	1465000	142	0.117939	0.113207
LG12	1420001	1470000	164	0.111512	0.108256
LG12	1425001	1475000	198	0.123263	0.113824
LG12	1430001	1480000	206	0.127797	0.11528
LG12	1435001	1485000	264	0.133958	0.107417
LG12	1440001	1490000	284	0.128041	0.0969127
LG12	1445001	1495000	315	0.124756	0.088922
LG12	1450001	1500000	344	0.121582	0.0865649
LG12	1455001	1505000	409	0.119028	0.0860027
LG12	1460001	1510000	417	0.111497	0.0794639
LG12	1465001	1515000	429	0.116056	0.0829194
LG12	1470001	1520000	451	0.122725	0.0874333
LG12	1475001	1525000	421	0.116822	0.0811023
LG12	1480001	1530000	436	0.110361	0.0765185
LG12	1485001	1535000	398	0.0958793	0.0676726
LG12	1490001	1540000	401	0.0955818	0.071515
LG12	1495001	1545000	404	0.0918435	0.0723831
LG12	1500001	1550000	404	0.0907447	0.0707539
LG12	1505001	1555000	403	0.0861999	0.067276
LG12	1510001	1560000	389	0.0911056	0.07088
LG12	1515001	1565000	435	0.0786176	0.0637986
LG12	1520001	1570000	413	0.0645942	0.0544147
LG12	1525001	1575000	436	0.0656859	0.0565682
LG12	1530001	1580000	479	0.0662449	0.0593033
LG12	1535001	1585000	503	0.0698759	0.0651597
LG12	1540001	1590000	522	0.0765947	0.0725318
LG12	1545001	1595000	500	0.0814604	0.0778143
LG12	1550001	1600000	496	0.0839395	0.083597
LG12	1555001	1605000	456	0.0833608	0.0850918
LG12	1560001	1610000	467	0.0762956	0.0809678
LG12	1565001	1615000	400	0.0800702	0.0854086
LG12	1570001	1620000	388	0.0895876	0.0930915
LG12	1575001	1625000	367	0.096067	0.0966235
LG12	1580001	1630000	328	0.116778	0.110909
LG12	1585001	1635000	294	0.12254	0.111948
LG12	1590001	1640000	252	0.117541	0.104447
LG12	1595001	1645000	248	0.111078	0.0947904
LG12	1600001	1650000	240	0.107165	0.0839015
LG12	1605001	1655000	242	0.0998526	0.0757716
LG12	1610001	1660000	252	0.0998084	0.0720848
LG12	1615001	1665000	252	0.0902543	0.0607294
LG12	1620001	1670000	265	0.0719312	0.0484714
LG12	1625001	1675000	318	0.0706241	0.0507718
LG12	1630001	1680000	354	0.0498299	0.0397181
LG12	1635001	1685000	356	0.0454894	0.036813
LG12	1640001	1690000	379	0.0442921	0.0341815
LG12	1645001	1695000	391	0.043872	0.033415
LG12	1650001	1700000	375	0.0423908	0.0324389
LG12	1655001	1705000	364	0.0421287	0.0320169
LG12	1660001	1710000	354	0.0392204	0.0269292
LG12	1665001	1715000	342	0.0404609	0.0272142
LG12	1670001	1720000	334	0.0420479	0.0279205
LG12	1675001	1725000	312	0.0332495	0.0226775
LG12	1680001	1730000	266	0.0330931	0.0197969
LG12	1685001	1735000	270	0.057042	0.0353092
LG12	1690001	1740000	264	0.0801756	0.0529732
LG12	1695001	1745000	268	0.0969081	0.0655633
LG12	1700001	1750000	272	0.10575	0.0719109
LG12	1705001	1755000	260	0.113796	0.0781181
LG12	1710001	1760000	243	0.126399	0.0911822
LG12	1715001	1765000	268	0.126504	0.0927548
LG12	1720001	1770000	309	0.124198	0.0883011
LG12	1725001	1775000	308	0.131518	0.0911349
LG12	1730001	1780000	338	0.120982	0.0807365
LG12	1735001	1785000	358	0.111137	0.0747009
LG12	1740001	1790000	390	0.0937312	0.0639216
LG12	1745001	1795000	408	0.0759191	0.0533424
LG12	1750001	1800000	434	0.0684616	0.0497811
LG12	1755001	1805000	458	0.0675982	0.0499974
LG12	1760001	1810000	468	0.0723957	0.0568527
LG12	1765001	1815000	461	0.0726168	0.0586385
LG12	1770001	1820000	449	0.0648633	0.0562565
LG12	1775001	1825000	467	0.040777	0.0410107
LG12	1780001	1830000	450	0.0352385	0.0385619
LG12	1785001	1835000	487	0.0172979	0.0231438
LG12	1790001	1840000	494	0.0168358	0.0225699
LG12	1795001	1845000	479	0.0156978	0.0219875
LG12	1800001	1850000	464	0.0113222	0.0172772
LG12	1805001	1855000	442	0.0079287	0.0145672
LG12	1810001	1860000	426	-8.60321e-05	0.00522154
LG12	1815001	1865000	410	-0.00609385	-0.00105164
LG12	1820001	1870000	381	-0.00743112	-0.00200863
LG12	1825001	1875000	329	0.0014539	0.00355364
LG12	1830001	1880000	304	0.00345678	0.00578102
LG12	1835001	1885000	232	0.0160623	0.0188871
LG12	1840001	1890000	182	0.00298919	0.0117708
LG12	1845001	1895000	195	0.00969177	0.0157198
LG12	1850001	1900000	199	0.0105734	0.0178807
LG12	1855001	1905000	246	0.0238016	0.0272535
LG12	1860001	1910000	293	0.0323485	0.0360426
LG12	1865001	1915000	306	0.0339047	0.0364377
LG12	1870001	1920000	301	0.042143	0.0434014
LG12	1875001	1925000	313	0.0568457	0.0543017
LG12	1880001	1930000	318	0.0623884	0.0580244
LG12	1885001	1935000	324	0.0689009	0.0631386
LG12	1890001	1940000	323	0.0717834	0.0651382
LG12	1895001	1945000	296	0.0801664	0.0712576
LG12	1900001	1950000	279	0.0886174	0.0788264
LG12	1905001	1955000	238	0.0930027	0.0833352
LG12	1910001	1960000	192	0.0995458	0.0873637
LG12	1915001	1965000	176	0.101516	0.0938793
LG12	1920001	1970000	167	0.0923914	0.0864844
LG12	1925001	1975000	155	0.0716169	0.0710599
LG12	1930001	1980000	146	0.0594701	0.0618376
LG12	1935001	1985000	138	0.0382693	0.045634
LG12	1940001	1990000	143	0.0373257	0.045915
LG12	1945001	1995000	142	0.0440187	0.051856
LG12	1950001	2000000	152	0.0496224	0.0539507
LG12	1955001	2005000	163	0.0519066	0.0535808
LG12	1960001	2010000	164	0.0460875	0.0479669
LG12	1965001	2015000	185	0.0533567	0.0546908
LG12	1970001	2020000	201	0.0666941	0.0642139
LG12	1975001	2025000	196	0.0695318	0.0653278
LG12	1980001	2030000	225	0.0671786	0.0644025
LG12	1985001	2035000	281	0.0764025	0.0723211
LG12	1990001	2040000	321	0.0582875	0.0574456
LG12	1995001	2045000	358	0.0490438	0.0500765
LG12	2000001	2050000	390	0.0398049	0.0405748
LG12	2005001	2055000	415	0.0322999	0.032838
LG12	2010001	2060000	415	0.0321165	0.0320994
LG12	2015001	2065000	384	0.0278724	0.0281283
LG12	2020001	2070000	366	0.0202435	0.0223501
LG12	2025001	2075000	379	0.033628	0.0367386
LG12	2030001	2080000	399	0.0745324	0.0728707
LG12	2035001	2085000	375	0.0778671	0.0788174
LG12	2040001	2090000	360	0.0986624	0.0991106
LG12	2045001	2095000	337	0.119369	0.119005
LG12	2050001	2100000	320	0.138828	0.136233
LG12	2055001	2105000	325	0.162161	0.160976
LG12	2060001	2110000	390	0.149588	0.150942
LG12	2065001	2115000	424	0.144	0.145991
LG12	2070001	2120000	436	0.142573	0.143822
LG12	2075001	2125000	422	0.134671	0.135661
LG12	2080001	2130000	391	0.101894	0.107388
LG12	2085001	2135000	360	0.0944276	0.100116
LG12	2090001	2140000	348	0.0979709	0.100535
LG12	2095001	2145000	357	0.0902911	0.0923525
LG12	2100001	2150000	356	0.0916124	0.097534
LG12	2105001	2155000	368	0.0631505	0.0716012
LG12	2110001	2160000	366	0.0434018	0.0544713
LG12	2115001	2165000	353	0.0419829	0.0531059
LG12	2120001	2170000	360	0.0457661	0.0550825
LG12	2125001	2175000	386	0.0489236	0.0559683
LG12	2130001	2180000	400	0.0498661	0.0556434
LG12	2135001	2185000	433	0.0593041	0.0632213
LG12	2140001	2190000	475	0.0628371	0.0625602
LG12	2145001	2195000	500	0.0697869	0.0662117
LG12	2150001	2200000	507	0.0764642	0.069075
LG12	2155001	2205000	494	0.0952599	0.0835698
LG12	2160001	2210000	451	0.118391	0.101096
LG12	2165001	2215000	449	0.120396	0.102569
LG12	2170001	2220000	456	0.11935	0.102151
LG12	2175001	2225000	451	0.123574	0.106418
LG12	2180001	2230000	426	0.128116	0.110668
LG12	2185001	2235000	413	0.130582	0.112887
LG12	2190001	2240000	371	0.130622	0.114227
LG12	2195001	2245000	415	0.0839815	0.0830498
LG12	2200001	2250000	465	0.059677	0.0624645
LG12	2205001	2255000	468	0.0493898	0.051498
LG12	2210001	2260000	484	0.0388267	0.0411892
LG12	2215001	2265000	505	0.0343837	0.0334138
LG12	2220001	2270000	478	0.0309802	0.0297997
LG12	2225001	2275000	484	0.0211484	0.022511
LG12	2230001	2280000	500	0.0193779	0.0216727
LG12	2235001	2285000	540	0.00861325	0.0123267
LG12	2240001	2290000	554	0.00536509	0.00787865
LG12	2245001	2295000	467	0.0179317	0.0169667
LG12	2250001	2300000	437	0.0251516	0.0248033
LG12	2255001	2305000	417	0.030511	0.0311899
LG12	2260001	2310000	388	0.032351	0.035187
LG12	2265001	2315000	395	0.0396311	0.0450166
LG12	2270001	2320000	424	0.0410238	0.046324
LG12	2275001	2325000	410	0.0436777	0.0488098
LG12	2280001	2330000	386	0.0443658	0.0491809
LG12	2285001	2335000	316	0.0516963	0.0582458
LG12	2290001	2340000	289	0.068036	0.0723178
LG12	2295001	2345000	336	0.0828687	0.0770688
LG12	2300001	2350000	335	0.0955475	0.0842864
LG12	2305001	2355000	328	0.100007	0.0873272
LG12	2310001	2360000	372	0.104959	0.089718
LG12	2315001	2365000	349	0.108918	0.0911645
LG12	2320001	2370000	350	0.109833	0.0900127
LG12	2325001	2375000	353	0.11489	0.0934222
LG12	2330001	2380000	381	0.113083	0.0903749
LG12	2335001	2385000	417	0.110346	0.0871645
LG12	2340001	2390000	432	0.105817	0.0824352
LG12	2345001	2395000	407	0.100194	0.0784333
LG12	2350001	2400000	364	0.0959658	0.0733558
LG12	2355001	2405000	358	0.0951399	0.0739768
LG12	2360001	2410000	337	0.0963547	0.0742459
LG12	2365001	2415000	332	0.0972174	0.0739324
LG12	2370001	2420000	348	0.100083	0.0782033
LG12	2375001	2425000	365	0.0994367	0.0778102
LG12	2380001	2430000	368	0.0968169	0.0740264
LG12	2385001	2435000	395	0.0883497	0.0654043
LG12	2390001	2440000	414	0.0798232	0.0616021
LG12	2395001	2445000	412	0.0701558	0.0553393
LG12	2400001	2450000	451	0.0622295	0.0497744
LG12	2405001	2455000	493	0.0506851	0.0392762
LG12	2410001	2460000	492	0.0440282	0.0360458
LG12	2415001	2465000	503	0.0431367	0.0364674
LG12	2420001	2470000	482	0.0428189	0.0367087
LG12	2425001	2475000	495	0.0365788	0.0321636
LG12	2430001	2480000	525	0.0293672	0.0274373
LG12	2435001	2485000	499	0.0319975	0.0341228
LG12	2440001	2490000	489	0.0328332	0.035408
LG12	2445001	2495000	498	0.033047	0.0354085
LG12	2450001	2500000	490	0.0336806	0.036503
LG12	2455001	2505000	458	0.0353186	0.0389616
LG12	2460001	2510000	470	0.0341148	0.0376025
LG12	2465001	2515000	516	0.032734	0.0348107
LG12	2470001	2520000	579	0.0225244	0.0264637
LG12	2475001	2525000	626	0.0230824	0.0257719
LG12	2480001	2530000	608	0.0295123	0.0311405
LG12	2485001	2535000	630	0.0307808	0.0298943
LG12	2490001	2540000	645	0.0314952	0.0305347
LG12	2495001	2545000	670	0.0342078	0.0320154
LG12	2500001	2550000	696	0.0312443	0.028845
LG12	2505001	2555000	709	0.0321518	0.0298248
LG12	2510001	2560000	693	0.0315991	0.0294065
LG12	2515001	2565000	676	0.0349401	0.0330636
LG12	2520001	2570000	619	0.038887	0.0359119
LG12	2525001	2575000	555	0.0396482	0.0370125
LG12	2530001	2580000	539	0.0399242	0.0374657
LG12	2535001	2585000	501	0.0386603	0.0364522
LG12	2540001	2590000	462	0.0380399	0.0356734
LG12	2545001	2595000	389	0.0347286	0.0337425
LG12	2550001	2600000	315	0.0427471	0.0408164
LG12	2555001	2605000	291	0.0450052	0.0424221
LG12	2560001	2610000	266	0.0452795	0.0430734
LG12	2565001	2615000	222	0.0368627	0.0354839
LG12	2570001	2620000	220	0.0349082	0.0343956
LG12	2575001	2625000	243	0.0269691	0.0309245
LG12	2580001	2630000	260	0.0244391	0.0269596
LG12	2585001	2635000	293	0.0241826	0.0250881
LG12	2590001	2640000	305	0.0258497	0.0264155
LG12	2595001	2645000	361	0.0189462	0.0208524
LG12	2600001	2650000	438	0.00876743	0.0130683
LG12	2605001	2655000	472	0.0138095	0.0170049
LG12	2610001	2660000	546	0.0123437	0.0142832
LG12	2615001	2665000	536	0.0120484	0.0144303
LG12	2620001	2670000	513	0.0123885	0.0157228
LG12	2625001	2675000	464	0.0137718	0.0161768
LG12	2630001	2680000	449	0.011637	0.0149872
LG12	2635001	2685000	406	0.00969631	0.0141452
LG12	2640001	2690000	392	0.00739266	0.0128109
LG12	2645001	2695000	355	0.0141053	0.0204342
LG12	2650001	2700000	299	0.0295237	0.0331112
LG12	2655001	2705000	255	0.0211955	0.0269423
LG12	2660001	2710000	184	0.0334428	0.0420187
LG12	2665001	2715000	197	0.0367993	0.0437252
LG12	2670001	2720000	194	0.0352922	0.0415544
LG12	2675001	2725000	210	0.038807	0.0432192
LG12	2680001	2730000	196	0.0495469	0.049538
LG12	2685001	2735000	197	0.0489201	0.0488707
LG12	2690001	2740000	201	0.0493479	0.0464946
LG12	2695001	2745000	219	0.0473167	0.0438197
LG12	2700001	2750000	219	0.0523285	0.0500964
LG12	2705001	2755000	248	0.0579023	0.0558158
LG12	2710001	2760000	257	0.0611692	0.057276
LG12	2715001	2765000	291	0.0663544	0.0634054
LG12	2720001	2770000	350	0.0722682	0.0667665
LG12	2725001	2775000	385	0.068522	0.0628637
LG12	2730001	2780000	414	0.064808	0.0604068
LG12	2735001	2785000	450	0.0649105	0.0596815
LG12	2740001	2790000	450	0.0640029	0.0599826
LG12	2745001	2795000	450	0.0609184	0.0566394
LG12	2750001	2800000	436	0.0610233	0.054878
LG12	2755001	2805000	411	0.0571047	0.0511443
LG12	2760001	2810000	402	0.0524669	0.0473135
LG12	2765001	2815000	360	0.0463432	0.0399094
LG12	2770001	2820000	321	0.0330604	0.0320199
LG12	2775001	2825000	264	0.0321234	0.0312755
LG12	2780001	2830000	222	0.0346026	0.0329962
LG12	2785001	2835000	181	0.0265338	0.0257137
LG12	2790001	2840000	182	0.0232119	0.0223506
